$0;-1;1.9-SNAPSHOT;KIEKER;avh-ThinkPad-RSS;1;false;0;NANOSECONDS;1
$1;1283156545622914840;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976267;1283156498817701730;1283156498819760691;SRV0;1;1
$1;1283156545623063451;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976268;1283156498817737567;1283156498819797009;SRV0;1;1
$1;1283156545623219754;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976129;1283156498817855493;1283156498819999771;SRV1;3;2
$1;1283156545623365608;bookstoreTracing.CRM.getOffers();N/A;6488138950668976129;1283156498817823953;1283156498820007367;SRV0;2;1
$1;1283156545623511179;bookstoreTracing.Bookstore.searchBook();N/A;6488138950668976129;1283156498770302094;1283156498820012272;SRV0;0;0
$1;1283156545623658695;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976269;1283156498817892112;1283156498820086265;SRV1;1;1
$1;1283156545623820276;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976270;1283156498817927669;1283156498820127184;SRV0;1;1
$1;1283156545623969639;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976271;1283156498817962607;1283156498820162321;SRV1;1;1
$1;1283156545624117393;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976272;1283156498817997888;1283156498820310204;SRV0;1;1
$1;1283156545624280701;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976273;1283156498818032393;1283156498820345085;SRV1;1;1
$1;1283156545624434590;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976274;1283156498818067577;1283156498820383881;SRV0;1;1
$1;1283156545624582386;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976275;1283156498818102825;1283156498820430950;SRV0;1;1
$1;1283156545624729773;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976276;1283156498818141651;1283156498820466372;SRV1;1;1
$1;1283156545624880880;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976277;1283156498818176950;1283156498820500541;SRV1;1;1
$1;1283156545625053245;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976278;1283156498818226942;1283156498820538296;SRV1;1;1
$1;1283156545625206268;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976279;1283156498818266400;1283156498820572371;SRV1;1;1
$1;1283156545625359546;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976280;1283156498818301524;1283156498820610349;SRV0;1;1
$1;1283156545625514248;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976281;1283156498818335482;1283156498820644740;SRV0;1;1
$1;1283156545625661809;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976282;1283156498818373999;1283156498820682168;SRV1;1;1
$1;1283156545625812273;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976283;1283156498818413486;1283156498820720360;SRV0;1;1
$1;1283156545626009240;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976284;1283156498818450653;1283156498820758630;SRV1;1;1
$1;1283156545626158666;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976285;1283156498818487792;1283156498820792542;SRV1;1;1
$1;1283156545626305696;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976286;1283156498818524646;1283156498820830054;SRV1;1;1
$1;1283156545626455783;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976287;1283156498818563559;1283156498820864334;SRV0;1;1
$1;1283156545626606006;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976288;1283156498818600235;1283156498820901825;SRV1;1;1
$1;1283156545626752954;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976289;1283156498818639696;1283156498820938919;SRV1;1;1
$1;1283156545626899924;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976290;1283156498818677659;1283156498820976356;SRV1;1;1
$1;1283156545627050258;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976291;1283156498818715436;1283156498821010392;SRV1;1;1
$1;1283156545627202180;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976292;1283156498818754328;1283156498821047447;SRV1;1;1
$1;1283156545627375607;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976300;1283156498819045028;1283156498821066263;SRV1;1;1
$1;1283156545627525565;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976293;1283156498818794322;1283156498821082403;SRV1;1;1
$1;1283156545627675860;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976299;1283156498819004578;1283156498821104331;SRV1;1;1
$1;1283156545627822989;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976294;1283156498818834585;1283156498821120811;SRV1;1;1
$1;1283156545627977596;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976295;1283156498818874855;1283156498821156152;SRV0;1;1
$1;1283156545628131614;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976296;1283156498818914668;1283156498821189857;SRV0;1;1
$1;1283156545628283918;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976297;1283156498818952475;1283156498821223670;SRV1;1;1
$1;1283156545628431651;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976298;1283156498818991605;1283156498821258067;SRV1;1;1
$1;1283156545628582118;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976229;1283156498819039822;1283156498821291438;SRV1;3;2
$1;1283156545628740166;bookstoreTracing.CRM.getOffers();N/A;6488138950668976229;1283156498819025749;1283156498821297825;SRV0;2;1
$1;1283156545628885460;bookstoreTracing.Bookstore.searchBook();N/A;6488138950668976229;1283156498806550259;1283156498821302574;SRV0;0;0
$1;1283156545629035051;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976252;1283156498819311354;1283156498821324136;SRV0;3;2
$1;1283156545629180971;bookstoreTracing.CRM.getOffers();N/A;6488138950668976252;1283156498819300756;1283156498821331224;SRV0;2;1
$1;1283156545629331630;bookstoreTracing.Bookstore.searchBook();N/A;6488138950668976252;1283156498817204647;1283156498821336119;SRV0;0;0
$1;1283156545629484281;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976251;1283156498819263013;1283156498821355360;SRV1;3;2
$1;1283156545629633707;bookstoreTracing.CRM.getOffers();N/A;6488138950668976251;1283156498819252199;1283156498821362267;SRV0;2;1
$1;1283156545629862581;bookstoreTracing.Bookstore.searchBook();N/A;6488138950668976251;1283156498817052655;1283156498821367061;SRV0;0;0
$1;1283156545630015330;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976266;1283156498819734826;1283156498824334770;SRV1;3;2
$1;1283156545630162576;bookstoreTracing.CRM.getOffers();N/A;6488138950668976266;1283156498819724051;1283156498824353478;SRV0;2;1
$1;1283156545630311436;bookstoreTracing.Bookstore.searchBook();N/A;6488138950668976266;1283156498817655723;1283156498824358482;SRV0;0;0
$1;1283156545630463563;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976265;1283156498819769962;1283156498824431407;SRV1;3;2
$1;1283156545630613578;bookstoreTracing.CRM.getOffers();N/A;6488138950668976265;1283156498819759010;1283156498824438573;SRV0;2;1
$1;1283156545630776750;bookstoreTracing.Bookstore.searchBook();N/A;6488138950668976265;1283156498817620688;1283156498824443589;SRV0;0;0
$1;1283156545631120308;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976299;1283156498821135757;1283156498824478891;SRV1;3;2
$1;1283156545631270119;bookstoreTracing.CRM.getOffers();N/A;6488138950668976299;1283156498821124603;1283156498824486103;SRV0;2;1
$1;1283156545631417996;bookstoreTracing.Bookstore.searchBook();N/A;6488138950668976299;1283156498818992814;1283156498824490788;SRV0;0;0
